pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.17162,0.17216,0,-0.40297,0.0080036,0.081166,-0.10443,0.0050743
0.1723,0.17233,0.034299,-0.40609,0.0086314,0.081122,-0.073894,0.0065133
0.1723,0.17244,0,-0.40057,0.0089613,0.081107,0.017709,0.004867
0.1723,0.17252,0,-0.40229,0.0091005,0.08106,-0.028092,0.0047599
0.16476,0.16961,-0.37729,-0.40855,-0.0028783,0.081006,-0.058626,0.0077371
0.1723,0.17056,0.37729,-0.40788,0.002191,0.081015,0.10931,0.0092285
0.17299,0.1715,0.034299,-0.412,0.0066733,0.081052,-0.24183,0.011983
0.17162,0.17163,-0.068599,-0.42105,0.0073277,0.081141,-0.13496,0.017691
0.17162,0.17172,0,-0.42971,0.0077736,0.081342,-0.22657,0.02478
0.1723,0.17205,0.034299,-0.41728,0.0091293,0.081688,0.032977,0.02259
0.17162,0.17201,-0.034299,-0.4227,0.0088259,0.081988,-0.058626,0.023072
0.16476,0.1693,-0.34299,-0.42335,-0.0023158,0.082297,-0.028092,0.022978
0.16476,0.16742,0,-0.41815,-0.008754,0.082605,-0.15023,0.019794
0.16407,0.16588,-0.034299,-0.41928,-0.013073,0.08285,0.094045,0.017791
0.1723,0.16809,0.41159,-0.41695,-0.0017032,0.083057,-0.012825,0.014985
0.17162,0.16938,-0.034299,-0.4182,0.0046742,0.083207,-0.1197,0.013492
0.1723,0.17057,0.034299,-0.41926,0.0098556,0.083327,0.032977,0.01279
0.1723,0.1714,0,-0.41534,0.012961,0.083433,-0.028092,0.010292
0.17162,0.17169,-0.034299,-0.42685,0.013576,0.083486,-0.012825,0.013983
0.1723,0.17215,0.034299,-0.43322,0.014804,0.083611,-0.058626,0.018939
0.17162,0.17218,-0.034299,-0.42967,0.014161,0.083836,-0.089161,0.019837
0.1723,0.17246,0.034299,-0.43009,0.014576,0.084078,0.032977,0.020033
0.16407,0.16941,-0.41159,-0.4356,0.0014492,0.084321,-0.058626,0.022171
0.16407,0.1673,0,-0.43406,-0.006371,0.084608,0.017709,0.022117
0.1723,0.16908,0.41159,-0.431,0.0025389,0.084897,0.063511,0.019984
